店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
鉄板焼ステーキ・しゃぶしゃぶ 佳紋,096-351-4129,,熊本県,熊本市中央区,上通町3-15,ステラ上通ビルB1,,
馬刺しと郷土料理 酒処 一 ～HAJIME～,050-5487-7558,,熊本県,熊本市中央区,新市街1-11,,,
完全個室居酒屋 藁焼きと熊本馬刺し 藁火（わらび） 下通店,050-5494-5502,,熊本県,熊本市中央区,新市街3-7,AQUAビルB1,,
3時間飲み放題居酒屋 餃子のかっちゃん熊本店 個室完備,050-5489-3723,,熊本県,熊本市中央区,下通1-10-3,銀座プレイスKUMAMOTO4F,,
創作和食 縁 ‐えにし‐,096-351-0824,,熊本県,熊本市中央区,上通5-40,長安寺イーストンビル1F,https://enishi-kumamoto.gorp.jp/,TRUE
鉄板焼ステーキ・しゃぶしゃぶ 佳紋,096-351-4129,,熊本県,熊本市中央区,上通町3-15,ステラ上通ビルB1,,
鍋やTAMARI 熊本総本家,050-5485-3789,,熊本県,熊本市中央区,花畑町11-20,水田ビル3F,,
熊本馬刺しと炭火地鶏 個室熊本郷土料理 熊農組合 熊本本店,050-5485-1592,,熊本県,熊本市中央区,下通2-1-29,HAPPY-1ビル3F,,
ききょう家,050-5488-4921,,熊本県,熊本市中央区,安政町4-13,MKビル1F,,
御縁 駕町店（オエン カゴマチ）,050-5484-7807,,熊本県,熊本市中央区,安政町5-16,カリーノ駕町ビル2F,,
火蓮,050-5486-0390,,熊本県,熊本市中央区,新市街3-11,ロゼ花畑館3F,http://karen-kumamoto.com/,FALSE
菜な 熊本店,050-5484-5592,,熊本県,熊本市中央区,新市街2-8,,http://nana-kumamoto.com/,FALSE
炭火焼鳥 炎帝,050-5494-3352,,熊本県,熊本市中央区,水道町3-5,上通りKビル2F,,
料理屋 八,050-5488-4370,,熊本県,熊本市中央区,新市街3-28,,,
全席個室 ウメ子の家 熊本下通り店,050-5485-9415,,熊本県,熊本市中央区,下通1-4-15,3F,http://umeko.dkdining.com/kumamoto/,FALSE
あか牛と馬刺しぐーぐー 下通店,050-5486-0488,,熊本県,熊本市中央区,下通2-3-3,ナルオビル1F,https://izakaya-goo2.gorp.jp/,TRUE
馬刺しと郷土料理 酒処 一 ～HAJIME～,050-5487-7558,,熊本県,熊本市中央区,新市街1-11,,,
個室居酒屋 馬刺しと郷土料理 あまくさ牧場 熊本下通店,050-5485-8499,,熊本県,熊本市中央区,下通1-9-10,TM-21ビルB1,,
御縁 駕町店（オエン カゴマチ）,050-5484-7807,,熊本県,熊本市中央区,安政町5-16,カリーノ駕町ビル2F,,
あご出汁餃子 ゆでタン ANTONIO（アントニオ）,050-5494-2646,,熊本県,熊本市中央区,下通2-2-30,,,
ばら亭,050-5486-3326,,熊本県,熊本市中央区,下通1-7-24,サンスポットマツフジビル4F,,
旬彩 松風,050-5487-8875,,熊本県,熊本市中央区,花畑町10-9,1F,,
魚匠ダイニング 八潮,050-5486-8542,,熊本県,熊本市中央区,下通1-3-1,2F,https://gyosyoyashio.gorp.jp/,TRUE
和牛焼肉 すき焼き はらべこ,050-5488-2471,,熊本県,熊本市中央区,南坪井町2-20,第5ミヤモト歩小路ビル1F,,
熊本郷土 炭火溶岩焼鳥 肉割烹居酒屋 おかげさん,050-5486-9281,,熊本県,熊本市中央区,下通1-4-3,宇野ビル2F,,
和牛 馬肉 食べ放題 和モダン個室 くまもと劇場 熊本本店,050-5488-0922,,熊本県,熊本市中央区,下通1-10-3,銀座プレイスKUMAMOTO1F,,
和彩旬香 もぐら,050-5487-0643,,熊本県,熊本市中央区,花畑町12-6,アメージング7ビルB1,https://mogura1205.gorp.jp/,TRUE
